"119","1","4","4","1256","0.00","6/11/2013 18:00:00","1"
"120","1","6","1","1111111111111","0.00","6/11/2013 18:00:00","1"
"122","1","4","3","43453","0.00","6/11/2013 18:00:00","1"
"123","1","4","3","6122013","0.00","6/11/2013 18:00:00","1"
"124","1","4","11","14062013","0.00","6/13/2013 18:00:00","1"
"125","1","4","2","17062013","0.00","6/16/2013 18:00:00","1"
"126","1","6","4","1258","0.00","6/17/2013 18:00:00","1"
"127","1","4","1","222552","0.00","6/17/2013 18:00:00","1"
"128","1","4","1","222551","0.00","6/17/2013 18:00:00","1"
"129","1","4","3","73600","0.00","6/17/2013 18:00:00","1"
"130","1","4","1","222158","0.00","6/17/2013 18:00:00","1"
"131","1","4","9","11715","0.00","6/17/2013 18:00:00","1"
"132","1","4","1","223776","0.00","6/19/2013 18:00:00","1"
"133","1","6","4","1257","0.00","6/19/2013 18:00:00","1"
"134","1","4","7","2684","0.00","6/19/2013 18:00:00","1"
"135","1","4","5","26509","0.00","6/19/2013 18:00:00","1"
"136","1","4","2","21062013","0.00","6/20/2013 18:00:00","1"
"137","1","3","12","TZAC235","0.00","6/20/2013 18:00:00","1"
"138","1","3","2","9999","0.00","6/20/2013 18:00:00","1"
"139","1","4","11","22579","0.00","6/24/2013 18:00:00","1"
"140","1","4","1","224196","0.00","6/24/2013 18:00:00","1"
"141","1","4","21","10615245","0.00","6/24/2013 18:00:00","1"
"142","1","4","9","11870","0.00","6/24/2013 18:00:00","1"
"143","1","4","4","1261","0.00","6/24/2013 18:00:00","1"
"144","1","4","13","130000010430","0.00","6/25/2013 18:00:00","1"
"145","1","4","13","13000010431","0.00","6/25/2013 18:00:00","1"
"146","1","3","2","27062013","0.00","6/26/2013 18:00:00","1"
"147","1","2","1","270620131","0.00","6/26/2013 18:00:00","1"
"149","1","4","2","3854683","0.00","6/26/2013 18:00:00","1"
"150","1","4","21","10615360","0.00","6/27/2013 18:00:00","1"
"152","1","3","2","1072013","0.00","6/30/2013 18:00:00","1"
"153","1","6","4","1263","0.00","7/3/2013 18:00:00","1"
"154","1","26","3","43852","0.00","7/3/2013 18:00:00","1"
"156","1","26","14","3548465","0.00","7/3/2013 18:00:00","1"
"160","1","2","4","1262","0.00","7/3/2013 18:00:00","1"
"162","1","6","6","13000002486","0.00","7/3/2013 18:00:00","1"
"163","1","26","8","10463","0.00","7/3/2013 18:00:00","1"
"165","1","6","2","70413","0.00","7/3/2013 18:00:00","1"
"166","1","26","11","23064","0.00","7/4/2013 18:00:00","1"
"190","1","26","1","227118","0.00","7/4/2013 18:00:00","1"
"194","1","26","1","227449","0.00","7/4/2013 18:00:00","1"
"196","1","26","3","43980","0.00","7/4/2013 18:00:00","1"
"197","1","26","3","4710728124440","0.00","7/4/2013 18:00:00","1"
"198","1","26","3","43967","0.00","7/4/2013 18:00:00","1"
"199","1","26","9","12016","0.00","7/7/2013 18:00:00","1"
"201","1","26","1","228041","0.00","7/8/2013 18:00:00","1"
"203","1","26","1","228084","0.00","7/8/2013 18:00:00","1"
"205","1","6","14","41464","0.00","7/8/2013 18:00:00","1"
"207","1","26","10","62671","0.00","7/9/2013 18:00:00","1"
"209","1","6","4","1264","-1.00","7/9/2013 18:00:00","1"
"210","1","26","1","227777","0.00","7/10/2013 18:00:00","1"
"212","1","26","1","2285513","0.00","7/10/2013 18:00:00","1"
