"65","1","410","6","2813.00","Deposito","3/19/2014","Cancelacion de factura"
"66","1","559","3","560.00","Deposito","3/19/2014","No 82098338 banrural"
"67","1","3079","1","650.00","Efectivo","3/20/2014","abono de computadora amd a4 "
"68","1","962","3","3305.00","Deposito","3/20/2014","deposito con cheque No. 151 Banrural, depositado 20/3/14"
"69","1","4153","3","500.00","Cheque","3/20/2014","No 226 banrural elvia yolanda "
"70","1","19","5","260.00","Efectivo","3/20/2014","Abono COn Dinero que Gilder Retiro de Coosajo"
"71","1","371","6","5000.00","Efectivo","3/21/2014","Abono parcial"
"72","1","4176","1","2100.00","Efectivo","3/22/2014","cancelacion de credito."
"73","1","3983","2","35104.00","Deposito","3/24/2014","Deposito banrural 20-03-14 No. 83754431"
"74","1","3795","2","8345.00","Deposito","3/24/2014","Deposito Banrural No. 81607900 22-3-14"
"75","1","3755","3","400.00","Cheque","3/24/2014","No 1162 Brenda Palencia Banrural "
"76","1","3755","3","204.00","Efectivo","3/24/2014","/"
"77","1","238","3","155.00","Efectivo","3/24/2014","/"
"78","1","1741","3","686.00","Deposito","3/24/2014","Deposito con cheque de otro banco a banrural "
"79","1","654","3","64.00","Deposito","3/24/2014","/"
"80","1","3016","24","2085.00","Cheque","3/25/2014","abono al credito con cheque numero 00000907 de banrural"
"81","1","872","25","3069.00","Cheque","3/25/2014","cancelacion de ups y camaras web"
"82","1","655","2","39057.00","Deposito","3/26/2014","Abono a banrural con cheque de otro banco, No. 82120176"
"83","1","3795","2","6200.00","Deposito","3/26/2014","Deposito a banrural con cheque de otro banco No. 81610589"
"84","1","5","3","470.00","Deposito","3/27/2014","El devolbio una tarjeta de video, con esto pago el credito."
"86","1","1741","3","11869.61","Cheque","3/27/2014","Cheque BI No. 11,869.64"
"87","1","83","2","1100.00","Efectivo","3/27/2014","Abono con un pago de honorarios e iva de el mes de febrero"
"88","1","155","3","173.00","Deposito","3/28/2014","No 75914053 26 de marzo "
"89","1","3016","3","901.00","Cheque","3/31/2014","/953 copan chorty banrural "
"90","1","664","6","10480.00","Deposito","3/28/2014","Pago de 3 facturas"
"91","1","4231","6","2500.00","Deposito","3/31/2014","Abono parcial a una factura"
"92","1","318","6","300.00","Deposito","3/31/2014","Abono para cancelar factura"
"93","1","3056","6","4900.00","Efectivo","3/31/2014","Cancelacion de factura"
"94","1","110","1","1260.00","Deposito","4/1/2014","deposito en banrural con boleta #88208092"
"95","1","182","3","178.00","Efectivo","4/1/2014","/"
"96","1","436","3","73.00","Efectivo","4/1/2014","/"
"97","1","4212","3","190.00","Efectivo","4/1/2014","/"
"98","1","568","3","398.00","Efectivo","4/1/2014","/"
"99","1","723","24","700.00","Efectivo","4/2/2014","/"
"100","1","2348","2","811.00","Deposito","4/2/2014","Deposito Banrural No. 54366773"
"101","1","3630","6","12499.00","Deposito","4/2/2014","Deposito en BI. Cancelacion de 2 facturas vencidas."
"102","1","110","1","3450.00","Deposito","4/2/2014","deposito en banrural boleta # 88204593"
"103","1","770","3","2393.00","Deposito","4/2/2014","No 85866038 BANRURAL "
"104","2","3598","32","519383.77","Deposito","4/3/2014","Ce actualizo deuda de Click a Bodega"
"105","1","840","2","225.00","Deposito","4/3/2014","Deposito Banrural No. 81162892"
"106","1","3795","2","12200.00","Deposito","4/3/2014","Deposito BAnrural 86269421 cheque ajeno"
"107","1","582","25","1280.00","Efectivo","4/7/2014","cancelacion de tatjeta grafica gtx 660"
"108","1","52","3","600.00","Efectivo","4/7/2014","/"
"110","1","3082","3","7896.00","Deposito","4/8/2014","banrural"
"111","1","4231","6","2000.00","Deposito","4/7/2014","Banrural 86363473"
"112","1","4231","6","1850.00","Deposito","4/8/2014","Banrural 86353263"
"113","1","872","25","995.00","Deposito","4/10/2014","Cheque de otro banco depposito No 86647146"
"114","2","3598","32","12831.31","Deposito","4/10/2014","ActualizaciÃ³n de Deuda de Click"
"115","2","3598","32","2367.69","Deposito","4/10/2014","Actualizacion de Deuda Click"
"116","1","3658","2","295.00","Efectivo","4/8/2014","Retirado de la coosajo"
"117","1","548","6","25000.00","Deposito","4/10/2014","Abono parcial"
"118","2","248","32","14048.98","Deposito","4/10/2014","Cancelaci[on Total de Deuda Quezaltepeque"
"119","1","4350","3","5725.00","Deposito","4/11/2014","En B.I  LO REVISO SALVADOR "
"120","1","83","24","1511.00","Efectivo","4/11/2014","/"
"121","1","4355","3","325.00","Cheque","4/11/2014","Cheque Banrural No. 1122"
"122","1","962","3","4542.00","Deposito","4/15/2014","depositoo 80805832"
"123","1","328","3","1850.00","Deposito","4/15/2014","No boleta 80805832 banruaral"
"124","1","664","6","50503.00","Deposito","4/16/2014","Cancelacion de 5 facturas vencidas deposito en el BI num doc 551002"
"125","1","10","6","50000.00","Deposito","4/15/2014","Deposito BI No. doc. 43731723"
"126","1","548","5","25000.00","Deposito","4/22/2014","Se deposito cheque de Coosajo en Banco Industrial"
"127","1","548","5","16000.00","Efectivo","4/22/2014","Dinero en Efectivo que se saco de Coosajo R.L."
"128","1","655","6","15394.00","Deposito","4/21/2014","Banrural No. 88849671"
"129","1","4231","6","2464.00","Deposito","4/21/2014","Banrural No. boleta 86352934 "
"130","1","2643","5","275.00","Deposito","4/22/2014","Depositado a la Cuenta de Click 22-4-2014 Boleta No. 90970016 Banrrural"
"131","1","1741","2","536.00","Cheque","4/21/2014","Este depostio ya se havia hecho pero el programa lo aplico a otra factura mas vieja, la cual se abrio para modificar precios y se perdio ese abono."
"132","2","3598","32","161244.76","Deposito","4/23/2014","Actualizacion de Deuda Click"
"133","1","182","3","150.00","Efectivo","4/23/2014","/"
"134","1","371","3","3400.00","Cheque","4/23/2014","Banrural No537 a nombre de lorena Romero "
"135","1","3795","2","10000.00","Deposito","4/21/2014","Deposito en banrural con cheque ajeno. Bol. No. 86915443"
"136","1","3079","24","900.00","Efectivo","4/24/2014","Abono parcial, recibido por Salvador"
"137","1","573","1","775.00","Efectivo","4/28/2014","cancelado"
"138","1","654","3","1280.00","Deposito","4/28/2014","Banrural No 92018643 "
"139","2","3598","32","12982.43","Deposito","4/30/2014","Actualizacion de Deuda Click"
"140","1","3352","25","3000.00","Deposito","4/30/2014","abono hecho al Industrial de morales el dia 29/04/2014"
"141","1","770","3","1731.00","Deposito","4/30/2014","No deposito 64597029"
"142","1","1241","3","895.00","Deposito","4/30/2014","No deposito 95023250 banrural"
"143","1","736","3","2000.00","Deposito","4/30/2014","banrural cheque 92789762"
"144","1","1141","2","1470.00","Efectivo","5/2/2014","Primero pago, efectivo"
"145","1","793","27","33.00","Efectivo","5/2/2014","/"
"146","1","4139","6","12994.00","Deposito","5/2/2014","Cancelacion de factura deposito en efectivo en banrural"
"147","1","869","3","3315.00","Efectivo","5/6/2014","/"
"148","1","2860","24","1570.00","Cheque","5/7/2014","Cancela cartuchos de Tinta Originales"
"149","1","265","25","2800.00","Deposito","5/7/2014","Abono, deposito del dÃ­a 07/05/2014 del banrural 76115104"
"150","1","4163","3","566.67","Cheque","5/7/2014","deposito No 49711021 industrial "
"151","1","723","24","328.92","Efectivo","5/9/2014","."
"152","1","2557","24","252.00","Cheque","5/9/2014","Cheque 3320 Banco G&t  Casvachi R.L Monto Q252.00"
"153","1","664","6","19799.00","Efectivo","5/6/2014","Transferencia al Bi "
"154","2","3598","32","22750.86","Deposito","5/9/2014","ActualizaciÃ³n deuda de Click a Bodega "
"155","1","265","24","1000.00","Deposito","5/12/2014","Deposito el dia 9/05/2014 en banrural numero de boleta 76115675"
"156","1","654","3","1065.00","Deposito","5/12/2014","No Boleta 88133484 Banrural 09/05/2014"
"157","1","2331","2","500.00","Deposito","5/12/2014","Deposito en banrural"
"158","1","5","3","75.00","Efectivo","5/12/2014","/"
"159","1","2082","3","549.00","Efectivo","5/12/2014","/"
"160","1","391","2","2190.00","Efectivo","5/12/2014","Abono en efectivo, se descontÃ³ de la deuda a graficentro por publicidad de febrero-abril"
"161","1","303","2","2000.00","Deposito","5/13/2014","Banrural No. 94867360"
"162","1","3016","24","270.00","Efectivo","5/14/2014","en efectivo"
"163","1","2860","24","1534.00","Cheque","5/15/2014","Cheque del Banrural No.00011053,cuenta unica del tesoro municipal san jose la arada."
"164","1","4212","24","200.00","Efectivo","5/16/2014","efectivo"
"165","1","4115","3","500.00","Deposito","5/19/2014","Banrural 95030539 "
"166","1","3079","3","1140.00","Efectivo","5/20/2014","Abono parcial"
"167","1","4087","2","42655.00","Deposito","5/20/2014","Le depositaron a jorge y lo va usar para comprar chivos."
"168","1","3079","1","30.00","Efectivo","5/20/2014","."
"169","1","2557","1","2080.00","Cheque","5/20/2014","."
"170","1","3791","24","1000.00","Efectivo","5/21/2014","Primer abono parcial"
"171","1","52","24","500.00","Efectivo","5/21/2014","Adelanto de saldo pendiente"
"172","1","3347","3","340.00","Deposito","5/23/2014","No deposito 42571608"
"173","1","872","3","3116.00","Cheque","5/23/2014","04009518/04009500/04009501 cheques de bantrab "
"174","1","3791","3","1000.00","Efectivo","5/26/2014","/"
"175","1","290","24","1980.00","Cheque","5/26/2014","Cheque banrural No. 14676"
"177","1","265","3","1670.00","Deposito","5/27/2014","Numero de boleta 76119709 Banrural."
"178","1","654","3","380.00","Deposito","5/28/2014","banrural "
"179","1","664","6","11329.00","Efectivo","5/19/2014","Transferencia en efectivo al BI"
"180","1","4687","24","132.14","Tarjeta","5/29/2014","cheque no.00008285 EMITIDO POR FONDO ROTATIVO CONSULTORIO IGSS CHIQUIMULA BANRURAL."
"181","1","4708","2","4220.00","Deposito","5/28/2014","Banrural Boleta No. 63617"
"182","1","4715","1","100.00","Efectivo","5/31/2014","."
"183","1","1741","2","5245.00","Deposito","6/2/2014","Deposito al Bi con cheque de otro banco, el dia viernes 30 de maypo"
"184","1","52","3","200.00","Efectivo","6/3/2014","/"
"185","1","4153","3","500.00","Efectivo","6/3/2014","/"
"186","1","52","3","300.00","Efectivo","6/3/2014","/"
"187","1","1141","2","1470.00","Efectivo","6/3/2014","Abono final"
"188","1","1141","2","288.00","Efectivo","6/3/2014","abono total"
"189","1","3630","6","5315.00","Deposito","6/4/2014","Deposito en efectivo al BI"
"190","1","182","3","45.00","Efectivo","6/5/2014","cancelacion "
"191","1","654","3","1295.00","Deposito","6/6/2014","/"
"192","1","456","3","1000.00","Efectivo","6/6/2014","/"
"193","1","736","2","500.00","Efectivo","6/6/2014","Abono parcial"
"194","1","4585","3","1000.00","Efectivo","6/9/2014","Primer Abono"
"195","1","568","3","505.00","Efectivo","6/9/2014","/"
"196","1","3016","1","423.00","Efectivo","6/9/2014","/"
"197","1","664","6","9390.00","Deposito","6/7/2014","Transferencia en efectivo al BI"
"198","1","10","6","60000.00","Efectivo","6/6/2014","Deposito en efectivo al BI No. 43732607	"
"199","1","83","3","475.00","Efectivo","6/10/2014","0"
"200","1","61","25","956.00","Deposito","6/10/2014","abono realizado el 06/06/2014, deposito a cuenta referencia 1163266006851"
"201","1","872","25","9190.00","Cheque","6/10/2014","cancelacion 2 laptops asus blanca, cheque No. 000987, cheque de 9280.00, 90.00 como adelanto"
