"39","7225.00","1500.00","940.00","1260.00","deposito de 4900 de gilder  ","3","1","4/1/2014 18:50:11"
"40","11615.00","0.00","458.53","22153.00","/","3","1","4/2/2014 19:07:46"
"41","9744.00","114.00","81.51","5453.00","/","3","1","4/3/2014 18:30:45"
"42","18050.00","576.00","686.60","16300.00","/","3","1","4/4/2014 18:28:34"
"43","11875.50","0.00","1820.00","0.00",".","5","1","4/5/2014 16:21:33"
"44","6740.00","0.00","457.98","600.00","falta 160.05","3","1","4/7/2014 19:05:54"
"45","10665.00","0.00","2464.00","10396.00","/","3","1","4/8/2014 18:45:49"
"46","8100.00","344.00","621.39","3500.00","/","3","1","4/9/2014 18:27:30"
"47","3822.00","0.00","1033.62","30370.00","/","3","1","4/10/2014 18:32:37"
"48","4525.00","2320.00","4152.83","6125.00","/","3","1","4/11/2014 18:29:32"
"49","5618.50","0.00","365.25","0.00","Cuadre Exacto.","5","1","4/12/2014 15:20:29"
"50","9010.00","0.00","526.46","520.00","adelanto de 1000 a josue y 1000 chente ","3","1","4/14/2014 18:30:08"
"51","4030.00","0.00","1643.36","6492.00","/","3","1","4/15/2014 18:25:12"
"52","3446.00","0.00","0.00","0.00","hizo falta y nos e sabe porque ","3","1","4/16/2014 15:02:20"
"53","11085.00","0.00","10202.46","0.00","/","3","1","4/21/2014 18:38:51"
"54","6960.00","0.00","1533.06","151870.00","/","3","1","4/22/2014 18:31:32"
"55","3451.00","4264.00","1763.72","12685.00","/","3","1","4/23/2014 18:41:38"
"56","4586.00","295.54","0.00","12400.00","/","3","1","4/24/2014 18:28:06"
"57","360.00","4584.00","272.94","50.00","/","3","1","4/25/2014 18:25:42"
"58","2430.15","470.00","5423.73","5035.00","SobrÃ³ 0.65 centavos","5","1","4/26/2014 15:55:01"
"59","3336.00","0.00","294.00","6550.70","/","3","1","4/28/2014 18:31:41"
"60","13030.00","37265.00","186.03","0.00","/","3","1","4/29/2014 18:34:31"
"61","7739.00","0.00","737.99","7701.00","/","3","1","4/30/2014 18:25:00"
"62","16045.00","0.00","3971.46","300.00","/","3","1","5/2/2014 18:33:00"
"63","5109.50","1080.00","1523.34","0.00",".","5","1","5/3/2014 15:46:42"
"64","4156.00","0.00","7454.70","4250.00","/","3","1","5/5/2014 18:47:58"
"65","6494.00","0.00","378.78","13890.00","/","3","1","5/6/2014 18:38:56"
"66","7798.00","5721.67","7945.43","2800.00","/","3","1","5/7/2014 18:54:40"
"67","1972.00","0.00","8439.30","489.00","/","3","1","5/8/2014 18:28:04"
"68","11066.00","252.00","1080.50","0.00","/","3","1","5/9/2014 18:34:20"
"69","8934.00","0.00","1039.66","0.00","/","5","1","5/10/2014 16:04:02"
"70","6834.00","313.00","655.85","2565.00","/","3","1","5/12/2014 18:38:06"
"72","5947.00","0.00","2310.06","2000.00","/","3","1","5/13/2014 19:02:09"
"73","4129.00","2513.00","948.00","170.00","/","3","1","5/14/2014 18:55:15"
"74","13903.00","8448.00","4113.51","4242.00","/","3","1","5/16/2014 18:36:56"
"75","7128.00","0.00","4214.24","795.00",".","5","1","5/17/2014 15:53:28"
"76","2496.00","10000.00","193.40","2795.00","/","3","1","5/19/2014 18:31:19"
"77","3220.00","2080.00","8255.29","47766.00","/","3","1","5/20/2014 18:39:18"
